player_id,season_name,competition_id,competition_name,team_id,team_name,nb_in_group,nb_on_pitch,goals,assists,own_goals,subed_in,subed_out,yellow_cards,second_yellow_cards,direct_red_cards,penalty_goals,minutes_played,goals_conceded,clean_sheets,main_position,value
100986,22/23,L1,Bundesliga,16,Borussia Dortmund,16,10,0.0,0,0,3,2,2,0,0,0,,0,0,Defender,5000000.0
100986,22/23,L1,Bundesliga,16,Borussia Dortmund,16,10,0.0,0,0,3,2,2,0,0,0,,0,0,Defender,6500000.0
100986,21/22,L1,Bundesliga,16,Borussia Dortmund,18,17,2.0,4,0,0,5,4,0,0,0,703.0,0,0,Defender,9000000.0
100986,21/22,L1,Bundesliga,16,Borussia Dortmund,18,17,2.0,4,0,0,5,4,0,0,0,703.0,0,0,Defender,6500000.0
1011738,24/25,GB1,Premier League,985,Manchester United,13,5,0.0,0,0,1,1,0,0,0,0,,0,0,Defender,5000000.0
1015822,25/26,IT1,Serie A,430,ACF Fiorentina,1,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,1500000.0
1017950,24/25,IT1,Serie A,1005,US Lecce,1,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,150000.0
1017950,24/25,IT1,Serie A,1005,US Lecce,1,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,200000.0
1018938,24/25,ES1,LaLiga,681,Real Sociedad,37,13,0.0,1,0,7,0,2,0,0,0,,0,0,Defender,8000000.0
1018938,24/25,ES1,LaLiga,681,Real Sociedad,37,13,0.0,1,0,7,0,2,0,0,0,,0,0,Defender,2000000.0
1018938,23/24,ES1,LaLiga,681,Real Sociedad,9,1,0.0,0,0,1,0,0,0,0,0,,0,0,Defender,2000000.0
1018938,23/24,ES1,LaLiga,681,Real Sociedad,9,1,0.0,0,0,1,0,0,0,0,0,,0,0,Defender,100000.0
1018938,23/24,ES1,LaLiga,681,Real Sociedad,9,1,0.0,0,0,1,0,0,0,0,0,,0,0,Defender,400000.0
1018938,23/24,ES1,LaLiga,681,Real Sociedad,9,1,0.0,0,0,1,0,0,0,0,0,,0,0,Defender,2000000.0
1020191,24/25,FR1,Ligue 1,826,RC Lens,1,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,200000.0
1020191,24/25,FR1,Ligue 1,826,RC Lens,1,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,1000000.0
1020191,22/23,FR1,Ligue 1,826,RC Lens,1,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,50000.0
1020191,22/23,FR1,Ligue 1,826,RC Lens,1,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,50000.0
102258,21/22,GB1,Premier League,1132,Burnley FC,37,25,1.0,2,0,5,3,3,0,1,0,1773.0,0,0,Defender,2000000.0
102258,21/22,GB1,Premier League,1132,Burnley FC,37,25,1.0,2,0,5,3,3,0,1,0,1773.0,0,0,Defender,1200000.0
102271,23/24,A1,Bundesliga,541,SC Austria Lustenau,17,17,0.0,0,0,4,2,4,0,0,0,,0,0,Defender,200000.0
102271,23/24,A1,Bundesliga,541,SC Austria Lustenau,17,17,0.0,0,0,4,2,4,0,0,0,,0,0,Defender,250000.0
102271,22/23,A1,Bundesliga,541,SC Austria Lustenau,27,27,1.0,0,1,3,1,3,0,0,0,2242.0,0,0,Defender,350000.0
102271,22/23,A1,Bundesliga,541,SC Austria Lustenau,27,27,1.0,0,1,3,1,3,0,0,0,2242.0,0,0,Defender,350000.0
102423,24/25,ES1,LaLiga,714,RCD Espanyol Barcelona,33,33,4.0,2,0,1,1,4,0,1,0,718.0,0,0,Defender,1000000.0
102423,24/25,ES1,LaLiga,714,RCD Espanyol Barcelona,33,33,4.0,2,0,1,1,4,0,1,0,718.0,0,0,Defender,1000000.0
102423,22/23,ES1,LaLiga,714,RCD Espanyol Barcelona,34,32,0.0,1,1,1,2,8,1,1,0,,0,0,Defender,3500000.0
102423,22/23,ES1,LaLiga,714,RCD Espanyol Barcelona,34,32,0.0,1,1,1,2,8,1,1,0,,0,0,Defender,2500000.0
102423,21/22,ES1,LaLiga,714,RCD Espanyol Barcelona,37,37,2.0,0,1,0,0,7,0,0,0,1665.0,0,0,Defender,3500000.0
